127.0.0.1 - - [27/Sep/2022:13:44:36 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Sep/2022:13:44:37 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [27/Sep/2022:13:44:37 +0900] "GET /BBS/css/custom.css HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [27/Sep/2022:13:44:38 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2279
0:0:0:0:0:0:0:1 - - [27/Sep/2022:13:44:38 +0900] "GET /BBS/css/custom.css HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [27/Sep/2022:13:44:38 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [27/Sep/2022:13:44:38 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [27/Sep/2022:13:44:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Sep/2022:13:45:31 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [27/Sep/2022:13:45:31 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2246
0:0:0:0:0:0:0:1 - - [27/Sep/2022:13:45:31 +0900] "GET /BBS/css/custom.css HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [27/Sep/2022:13:45:36 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2246
0:0:0:0:0:0:0:1 - - [27/Sep/2022:13:45:36 +0900] "GET /BBS/css/custom.css HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [27/Sep/2022:13:45:37 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2246
0:0:0:0:0:0:0:1 - - [27/Sep/2022:13:45:37 +0900] "GET /BBS/css/custom.css HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [27/Sep/2022:13:45:38 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [27/Sep/2022:13:46:09 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2246
0:0:0:0:0:0:0:1 - - [27/Sep/2022:13:46:09 +0900] "GET /BBS/css/custom.css HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [27/Sep/2022:13:47:00 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [27/Sep/2022:13:47:00 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2279
0:0:0:0:0:0:0:1 - - [27/Sep/2022:13:47:00 +0900] "GET /BBS/css/custom.css HTTP/1.1" 404 833
