127.0.0.1 - - [14/Sep/2022:17:08:14 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:08:16 +0900] "GET /jwbook/index.jsp HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:08:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:08:23 +0900] "GET /jwbook/book_u.jsp HTTP/1.1" 200 1882
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:08:24 +0900] "GET /jwbook/book_u2.jsp?book_id=15&title=%EC%9C%A0%EC%9B%90%EA%B7%9C&publisher=%EC%9C%A0%EC%9B%90%EA%B7%9C&year=1216&price=13123 HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:08:29 +0900] "POST /jwbook/book_dao.jsp HTTP/1.1" 500 2624
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:10:36 +0900] "POST /jwbook/book_dao.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:10:41 +0900] "GET /jwbook/index.jsp HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:10:42 +0900] "GET /jwbook/book_r.jsp HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:10:44 +0900] "GET /jwbook/index.jsp HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:10:46 +0900] "GET /jwbook/book_u.jsp HTTP/1.1" 200 1882
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:10:47 +0900] "GET /jwbook/book_u2.jsp?book_id=15&title=%EC%9C%A0%EC%9B%90%EA%B7%9C&publisher=%EC%9C%A0%EC%9B%90%EA%B7%9C&year=1216&price=13123 HTTP/1.1" 200 839
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:10:52 +0900] "POST /jwbook/book_dao.jsp HTTP/1.1" 500 2616
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:12:51 +0900] "POST /jwbook/book_dao.jsp HTTP/1.1" 500 2616
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:13:52 +0900] "GET /jwbook/book_u2.jsp?book_id=15&title=%EC%9C%A0%EC%9B%90%EA%B7%9C&publisher=%EC%9C%A0%EC%9B%90%EA%B7%9C&year=1216&price=13123 HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:13:55 +0900] "POST /jwbook/book_dao.jsp HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:14:00 +0900] "GET /jwbook/index.jsp HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:14:01 +0900] "GET /jwbook/book_c.jsp HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:14:02 +0900] "GET /jwbook/index.jsp HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:14:03 +0900] "GET /jwbook/book_r.jsp HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:14:23 +0900] "GET /jwbook/index.jsp HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:17:11 +0900] "GET /jwbook/book_c.jsp HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:17:26 +0900] "POST /jwbook/book_dao.jsp HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:17:39 +0900] "GET /jwbook/index.jsp HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:17:43 +0900] "GET /jwbook/book_r.jsp HTTP/1.1" 200 1383
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:19:29 +0900] "GET /jwbook/index.jsp HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:19:30 +0900] "GET /jwbook/book_u.jsp HTTP/1.1" 200 2138
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:19:45 +0900] "GET /jwbook/book_u2.jsp?book_id=17&title=%EC%9C%A0%EC%9B%90%EA%B7%9C&publisher=%EC%9C%A0%EC%9B%90%EA%B7%9C&year=1234&price=1234 HTTP/1.1" 200 843
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:20:36 +0900] "POST /jwbook/book_dao.jsp HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:20:50 +0900] "GET /jwbook/index.jsp HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:20:57 +0900] "GET /jwbook/book_r.jsp HTTP/1.1" 200 1387
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:21:10 +0900] "GET /jwbook/index.jsp HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:21:12 +0900] "GET /jwbook/book_d.jsp HTTP/1.1" 200 3428
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:21:24 +0900] "GET /jwbook/book_dao.jsp?actionType=D&book_id=17 HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:21:41 +0900] "GET /jwbook/index.jsp HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [14/Sep/2022:17:21:41 +0900] "GET /jwbook/book_r.jsp HTTP/1.1" 200 1250
